cos_day,rh_7d,rh_3d,RH2M,rh_lag_2,rh_lag_7,high_humidity,WS10M,wind_3d,sin_day,rh_lag_3,rain_14d,T2M,temp_lag_7,rain_lag_3,PRECTOTCORR,rain_3d,rain_7d,temp_range,rain_lag_1,month,date,target_3d,target_5d,target_7d,target_score_5d
0.9711000518829505,68.80285714285715,69.58666666666666,70.98,66.59,68.7,0,5.27,4.67,0.2386727660059501,68.63,0.01,25.4,26.75,0.0,0.0,0.0,0.0,1.09,0.0,1,2005-01-14,0.0,0.0,0.0,0.0
0.9668478136052776,69.24714285714286,70.65666666666667,69.8,71.19,66.69,0,4.52,4.923333333333333,0.255353295116187,66.59,0.0,25.35,26.62,0.0,0.0,0.0,0.0,0.4699999999999988,0.0,1,2005-01-15,0.0,0.0,0.0,0.3
0.9623090774541486,69.79857142857144,71.26333333333334,73.01,70.98,69.15,0,5.37,5.053333333333334,0.2719581575341055,71.19,0.0,25.18,26.32,0.0,0.0,0.0,0.0,0.4400000000000013,0.0,1,2005-01-16,0.0,0.0,0.0,0.3
0.9574851883550392,70.34142857142858,71.66666666666667,72.19,69.8,68.39,0,5.49,5.126666666666666,0.288482432880609,70.98,0.0,24.93,25.66,0.0,0.0,0.0,0.0,0.4499999999999993,0.0,1,2005-01-17,0.0,0.0,0.0,0.3
0.9523775757303974,70.55428571428571,71.77333333333333,70.12,73.01,68.63,0,5.47,5.4433333333333325,0.304921224656289,69.8,0.0,24.6,24.57,0.0,0.0,0.0,0.0,0.1900000000000012,0.0,1,2005-01-18,0.0,0.0,0.0,0.3
0.9469877530760752,70.23,68.87666666666667,64.32,72.19,66.59,0,6.58,5.846666666666667,0.3212696616923644,73.01,0.0,24.98,24.62,0.0,0.0,0.0,0.0,1.0500000000000007,0.0,1,2005-01-19,0.0,0.0,0.0,0.0
0.9413173175128472,70.17857142857143,68.42333333333333,70.83,70.12,71.19,0,5.39,5.8133333333333335,0.3375228995941133,72.19,0.0,25.84,24.93,0.0,0.0,0.0,0.0,1.5299999999999976,0.0,1,2005-01-20,0.0,0.0,0.0,0.3
0.9353679493131484,70.9042857142857,70.40333333333332,76.06,64.32,70.98,0,5.54,5.836666666666666,0.3536761221763716,70.12,0.0,26.51,25.4,0.0,0.0,0.0,0.0,1.0399999999999991,0.0,1,2005-01-21,0.0,0.0,0.0,0.3
0.9291414114031744,71.21571428571428,72.95666666666666,71.98,70.83,69.8,0,6.77,5.9,0.3697245428906731,64.32,0.0,26.18,25.35,0.0,0.0,0.0,0.0,0.8399999999999999,0.0,1,2005-01-22,0.0,0.0,0.0,0.3001601445407136
0.9226395488404876,71.23857142857142,73.73666666666666,73.17,76.06,73.01,0,5.79,6.033333333333332,0.385663406243607,70.83,0.0,25.05,25.18,0.0,0.0,0.0,0.0,0.860000000000003,0.0,1,2005-01-23,0.0,0.0,0.0,0.4016507206504332
0.9158642882672872,70.56285714285714,70.87,67.46,71.98,72.19,0,4.88,5.813333333333333,0.401487989205973,76.06,0.0,24.99,24.93,0.0,0.0,0.0,0.0,0.8100000000000023,0.0,1,2005-01-24,0.0,0.0,0.0,0.0016630394612573
