feature,importance,variance,low_variance
PRECTOTCORR,0.09522131005980894,27.040654005952067,False
rain_3d,0.08427557974664156,162.51124998670284,False
is_rainy,0.07676066232445225,0.20289982236524462,False
fungal_risk,0.07403601489356058,0.182396482432326,False
rain_lag_1,0.06425578945281547,27.040668853413447,False
rain_7d,0.0355636204684437,627.0610488495312,False
rain_lag_3,0.03416435770636439,27.040764925133722,False
rain_14d,0.030590456381991364,1782.568091319593,False
rain_lag_2,0.028645514086237767,27.040688595060978,False
rh_7d,0.027075271298526393,35.14770954370981,False
RH2M,0.025982101098349912,44.959383245100156,False
humidity_mean_14d_audit,0.02584605629480128,31.320877516056658,False
cos_day,0.024547347723307415,0.4990698544473802,False
rh_3d,0.02279828616074366,40.22654703937173,False
dayofyear,0.02168906005589981,11062.854033190903,False
humidity_var_14d_audit,0.021661770405756654,2.5844623337998294,False
rh_lag_2,0.020130369996381133,44.95699365834877,False
temp_var_14d_audit,0.01838928219398533,0.04081994831244929,False
wind_3d,0.016773081539026874,5.435262426022895,False
WS10M,0.015916089861522518,5.949511751125152,False
rain_lag_7,0.015797097716721043,27.041058991201936,False
week,0.014238007823000989,225.74065450096623,False
sin_day,0.013600801385100452,0.5010632363368758,False
temp_range,0.013404528540481058,0.08243505473585264,False
rh_lag_7,0.012887415287235127,44.937629809478906,False
rh_lag_3,0.012872651709583977,44.93859329000824,False
dry_spell_7d,0.012432287444440686,0.23329402226822962,False
moisture_stress,0.012152933963505932,0.27785731704053634,False
rain_days_14d,0.01073805607096409,23.489215604111752,False
T2M_MAX,0.010299564311094096,1.452623416078791,False
temp_mean_14d,0.010118346072842916,1.3023395813871927,False
temp_lag_3,0.009886066003819406,1.5042081830636775,False
rh_lag_1,0.00962753371997308,44.95845454937195,False
temp_mean_7d,0.009123868037816996,1.374454053989452,False
T2M,0.00907430015975791,1.5025978961230546,False
temp_lag_2,0.009052661517317583,1.503685106714654,False
T2M_MIN,0.008801824358423065,1.5980302812908354,False
temp_lag_7,0.0081728526566761,1.5037054025388992,False
temp_lag_1,0.007850323958701087,1.5031078915436735,False
temp_mean_3d,0.007654062237831352,1.4501094200078872,False
crop_age_days,0.007249819756432704,1049.1571910416,False
month,0.004266372095629163,11.844554060629495,False
high_humidity,0.004014361354442636,0.24486975524244906,False
red_rot_risk_composite,0.0008178930841195954,0.0554279233694294,False
wet_streak,0.0005847474231238003,0.07581732528719128,False
humid_streak,0.000538376744504524,0.04932490877986067,False
suppress_alert,0.0003653158567134207,0.24991220026255112,False
temp_optimal_red_rot,4.537232265353626e-05,0.03999371324481371,False
dry_to_wet_trigger,1.0536638476707999e-05,0.00041169200779286283,True
cold_stress,0.0,0.0,True
heat_stress,0.0,0.0,True
